
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeState_vAIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   242731
Number of nonzeros in inequality constraint Jacobian.:    48160
Number of nonzeros in Lagrangian Hessian.............:    85374

Total number of variables............................:    49470
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    49470
                     variables with only upper bounds:        0
Total number of equality constraints.................:    37387
Total number of inequality constraints...............:    24081
        inequality constraints with only lower bounds:    11997
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:    11997

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 9.9999900e-003 6.93e+002 1.00e+000   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 2.1786344e+000 1.89e+003 9.89e+002  -0.1 9.48e+000    -  6.17e-003 8.76e-001f  1
   2 2.3033776e+002 7.08e+002 3.31e+002   0.4 2.72e+002    -  6.59e-001 8.40e-001f  1
   3 2.4353949e+002 5.03e+002 4.29e+004   0.2 2.98e+001   2.0 6.55e-001 4.43e-001h  1
   4 2.4482674e+002 4.38e+002 6.01e+004   1.3 8.25e+001   2.4 1.00e+000 8.01e-002h  1
   5 2.4711599e+002 3.68e+002 6.97e+004   1.1 1.56e+001   2.9 9.98e-001 1.46e-001h  1
   6 2.4720801e+002 3.65e+002 8.94e+005   0.4 1.34e+001   3.3 9.99e-001 6.87e-003h  1
   7 2.5977975e+002 4.47e+002 4.32e+005   0.2 1.33e+001   2.8 1.00e+000 9.43e-001h  1
   8 2.6006873e+002 3.14e+002 8.01e+005   1.2 1.83e+001   2.3 1.00e+000 2.81e-001f  1
   9 2.6250024e+002 2.08e+002 4.57e+006   2.8 1.31e+001   2.7 9.14e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 2.6402351e+002 8.16e+001 1.86e+006   2.7 8.11e+000   2.3 6.25e-001 6.12e-001f  1
  11 2.6407675e+002 4.09e+001 1.12e+006   2.7 2.63e+000   3.6 3.21e-001 5.03e-001h  1
  12 2.6408182e+002 4.20e+001 1.48e+006   1.5 1.02e+001   3.1 5.12e-001 4.50e-001h  1
  13 2.6416335e+002 1.94e+001 3.48e+004   2.4 1.30e+000   3.6 1.00e+000 1.00e+000f  1
  14 2.6416263e+002 4.32e-001 1.29e+005  -3.6 5.01e-001   3.1 8.08e-001 1.00e+000h  1
  15 2.6416558e+002 1.60e-003 7.67e+001   0.1 7.17e-003   2.6 1.00e+000 1.00e+000f  1
  16 2.6416261e+002 6.33e-006 6.92e+000  -5.9 2.97e-003   2.1 9.90e-001 1.00e+000h  1
  17 2.6415371e+002 6.03e-005 3.90e-001  -3.7 8.90e-003   1.6 1.00e+000 1.00e+000f  1
  18 2.6412699e+002 5.55e-004 3.90e-001  -5.6 2.67e-002   1.2 1.00e+000 1.00e+000f  1
  19 2.6404686e+002 5.15e-003 3.90e-001  -7.5 8.01e-002   0.7 1.00e+000 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 2.6380661e+002 5.07e-002 3.90e-001  -9.4 2.40e-001   0.2 1.00e+000 1.00e+000f  1
  21 2.6308711e+002 6.08e-001 3.89e-001 -11.0 7.19e-001  -0.3 1.00e+000 1.00e+000f  1
  22 2.6093767e+002 1.39e+001 3.88e-001 -11.0 2.15e+000  -0.7 1.00e+000 1.00e+000f  1
  23 2.5455993e+002 2.61e+001 3.84e-001 -11.0 6.38e+000  -1.2 1.00e+000 1.00e+000f  1
  24 2.5231051e+002 1.79e+000 3.61e-001 -11.0 2.25e+000  -0.8 1.00e+000 1.00e+000h  1
  25 2.4551145e+002 9.45e+000 3.63e-001 -11.0 6.80e+000  -1.3 1.00e+000 1.00e+000f  1
  26 2.4307669e+002 6.18e-001 3.47e-001 -11.0 2.43e+000  -0.8 1.00e+000 1.00e+000f  1
  27 2.4104652e+002 6.89e-001 3.47e-001  -9.0 7.27e+000  -1.3 1.00e+000 2.79e-001f  1
  28 2.4102651e+002 6.83e-001 3.47e-001  -7.0 2.72e+000  -0.9 1.00e+000 7.36e-003h  1
  29 2.3295706e+002 9.03e+000 3.41e-001  -6.7 8.07e+000  -1.4 1.00e+000 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 2.3009458e+002 3.28e+000 3.22e-001  -7.1 2.86e+000  -0.9 1.00e+000 1.00e+000f  1
  31 2.2830449e+002 2.19e+001 3.22e-001  -5.1 8.59e+000  -1.4 1.00e+000 2.08e-001f  1
  32 2.2679356e+002 2.52e+001 3.22e-001  -3.7 3.21e+000  -1.0 1.00e+000 4.71e-001f  1
  33 2.2559999e+002 6.77e+000 3.19e-001  -3.5 1.19e+000  -0.6 1.00e+000 1.00e+000f  1
  34 2.2273952e+002 4.41e+001 3.19e-001  -4.6 3.59e+000  -1.1 1.00e+000 7.98e-001f  1
  35 2.1827168e+002 2.54e+001 3.12e-001  -3.3 1.02e+001  -1.5 1.00e+000 4.39e-001f  1
  36 2.0632164e+002 1.35e+001 2.97e-001  -3.0 2.79e+001  -2.0 1.00e+000 4.28e-001f  1
  37 1.9450460e+002 4.00e+002 4.55e-001  -2.8 6.78e+001  -2.5 1.00e+000 1.74e-001f  1
  38 1.7716851e+002 1.96e+002 1.83e+000  -1.7 2.12e+001  -2.1 1.00e+000 8.17e-001f  1
  39 1.3269710e+002 1.23e+002 1.47e+000  -1.8 4.47e+001  -2.5 9.94e-001 9.94e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 1.3391784e+002 1.07e+002 2.08e+001  -7.8 2.38e+000  -1.2 2.06e-001 1.00e+000h  1
  41 1.3326548e+002 6.57e+001 2.84e+001  -2.1 1.67e+000  -0.8 9.98e-001 1.00e+000f  1
  42 1.3290195e+002 3.49e+001 5.88e+000  -2.7 9.13e-001  -0.4 9.54e-001 1.00e+000h  1
  43 1.3245676e+002 3.84e+001 3.51e+000  -3.0 3.39e+000  -0.8 1.00e+000 4.24e-001h  1
  44 1.2956571e+002 4.43e+000 1.35e+000  -2.7 2.89e+000  -1.3 1.00e+000 1.00e+000f  1
  45 1.2659188e+002 1.27e+001 8.70e-001  -3.2 7.92e+000  -1.8 9.93e-001 3.75e-001f  1
  46 1.2346156e+002 1.89e+001 7.69e-001  -3.9 1.98e+001  -2.3 1.00e+000 1.58e-001f  1
  47 1.1678616e+002 1.40e+001 1.10e-001  -2.9 7.36e+000  -1.8 1.00e+000 9.08e-001f  1
  48 1.0744847e+002 6.58e+001 1.35e-001  -2.3 1.53e+001  -2.3 5.12e-001 6.11e-001f  1
  49 9.3704964e+001 4.38e+002 7.02e+000  -2.0 5.66e+001  -2.8 3.23e-002 5.03e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 9.2837005e+001 3.22e+002 5.89e+000  -1.8 1.64e+001  -2.4 1.00e+000 2.69e-001f  1
  51 7.8065188e+001 8.25e+001 2.89e+000  -2.0 1.86e+001  -2.8 9.84e-001 7.93e-001f  1
  52 7.3491661e+001 2.92e+001 1.27e+000  -2.2 7.18e+000  -2.4 4.75e-001 6.37e-001h  1
  53 5.5660062e+001 2.88e+001 1.09e-001  -2.5 1.78e+001  -2.9 9.62e-001 1.00e+000f  1
  54 5.1220126e+001 1.53e+001 8.87e-002  -3.1 4.53e+000  -2.5 9.88e-001 9.79e-001h  1
  55 4.9448183e+001 5.70e+000 5.55e-001  -3.3 1.79e+000  -2.0 3.58e-001 9.87e-001h  1
