
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   379380
Number of nonzeros in inequality constraint Jacobian.:      172
Number of nonzeros in Lagrangian Hessian.............:   149721

Reallocating memory for MA57: lfact (8223916)
Total number of variables............................:    76020
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    76020
                     variables with only upper bounds:        0
Total number of equality constraints.................:    57487
Total number of inequality constraints...............:       87
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 9.9999900e-003 1.29e+003 7.47e-003   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 2.9699899e-001 8.82e+002 2.77e+001  -4.9 1.24e+000    -  1.05e-002 3.08e-001h  1
   2 7.3707100e-001 5.58e+002 1.76e+001  -4.9 1.22e+000    -  1.94e-001 3.60e-001h  1
   3 1.4224696e+000 1.31e+002 4.26e+000  -5.0 9.22e-001    -  4.30e-001 7.43e-001h  1
   4 1.7004525e+000 2.61e+000 3.01e-001  -5.2 2.78e-001    -  6.68e-001 1.00e+000h  1
   5 1.1977954e+000 1.73e+000 4.72e-001  -5.7 5.03e-001    -  3.04e-001 1.00e+000h  1
   6 1.1249697e+000 4.83e+000 2.44e-001  -5.9 3.16e-001    -  4.85e-001 1.00e+000h  1
   7 1.0476328e+000 1.87e+000 1.13e-001  -6.2 1.74e-001    -  5.43e-001 1.00e+000h  1
   8 9.9355650e-001 5.21e-001 5.01e-002  -6.5 1.47e-001    -  5.59e-001 1.00e+000h  1
   9 9.6800372e-001 1.96e+000 3.59e-002  -6.8 2.71e-001    -  4.61e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 9.6026498e-001 1.35e+000 2.45e-002  -7.1 2.77e-001    -  3.75e-001 6.89e-001h  1
  11 9.5835599e-001 1.20e+000 1.56e-002  -7.3 3.72e-001    -  3.39e-001 1.38e-001h  1
  12 9.5199045e-001 1.05e+000 1.15e-002  -7.5 5.47e-001    -  2.73e-001 3.46e-001h  1
  13 9.5133706e-001 1.01e+000 8.11e-003  -7.6 6.88e-001    -  2.59e-001 3.41e-002h  1
  14 9.4848145e-001 9.08e-001 7.06e-003  -7.8 9.61e-001    -  1.28e-001 1.25e-001h  1
  15 9.3787329e-001 2.51e+000 5.63e-003  -7.8 1.07e+000    -  2.52e-001 4.59e-001h  1
  16 9.3316469e-001 2.66e+000 4.01e-003  -8.0 1.14e+000    -  2.80e-001 2.35e-001h  1
  17 9.3288104e-001 2.63e+000 2.84e-003  -8.1 1.37e+000    -  2.47e-001 1.36e-002h  1
  18 9.3687546e-001 9.07e+000 4.83e-003  -4.3 2.70e+001    -  3.29e-002 1.48e-002f  1
  19 9.4254142e-001 9.54e+000 8.97e-003  -2.3 1.29e+003    -  5.68e-004 1.82e-004f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 9.6907079e-001 6.12e+001 2.08e-002  -2.3 3.30e+003  -4.0 2.74e-004 8.08e-004f  1
  21 1.0176873e+000 5.75e+001 2.06e-002  -2.3 3.66e+002  -3.6 1.66e-003 1.30e-003f  1
  22 1.1540161e+000 3.69e+001 3.03e-002  -2.3 1.85e+002  -3.1 2.57e-003 3.31e-003f  1
  23 1.4259221e+000 2.50e+001 4.56e-002  -2.3 8.04e+001  -2.7 2.40e-003 6.09e-003f  1
  24 1.4832378e+000 2.49e+001 4.54e-002  -2.3 8.92e+001  -2.3 1.20e-003 1.40e-003f  1
  25 2.7243573e+000 3.73e+001 5.94e-001  -2.3 2.79e+001  -1.9 2.24e-002 4.45e-002f  1
  26 3.5752714e+000 3.63e+001 5.80e-001  -2.3 3.34e+001  -2.3 3.71e-002 2.54e-002f  1
  27 6.0803305e+000 1.99e+002 5.07e-001  -2.3 3.01e+001  -1.9 1.52e-002 1.16e-001f  1
  28 7.7182015e+000 1.71e+002 5.12e-001  -2.3 1.18e+001  -1.5 9.97e-001 1.39e-001f  1
  29 1.1035652e+001 9.34e+001 3.46e-001  -2.3 7.25e+000  -2.0 7.46e-001 4.58e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 1.4707640e+001 4.94e+001 1.77e-001  -2.3 7.72e+000  -2.4 6.08e-001 4.75e-001h  1
  31 2.0324144e+001 9.93e+001 1.10e+000  -2.3 5.62e+000  -2.9 1.00e+000 1.00e+000h  1
  32 2.0860688e+001 1.20e+002 1.89e+000  -2.3 1.81e+001    -  1.00e+000 8.49e-001h  1
  33 2.0971594e+001 4.74e+001 1.41e+000  -2.3 1.48e+001    -  1.00e+000 1.00e+000h  1
  34 2.0978842e+001 3.09e+001 8.78e-001  -2.3 4.74e+000    -  1.00e+000 1.00e+000h  1
  35 2.0982118e+001 8.59e+000 2.68e-001  -2.3 3.84e+000    -  1.00e+000 1.00e+000h  1
  36 2.0985053e+001 4.38e-001 9.09e-003  -2.3 4.59e-001    -  1.00e+000 1.00e+000h  1
  37 1.3013143e+001 4.88e+001 1.18e-001  -8.3 7.97e+000    -  7.79e-001 1.00e+000f  1
  38 1.1485935e+001 2.51e-001 1.62e-003  -3.1 1.87e+000  -3.4 1.00e+000 1.00e+000H  1
  39 1.0896533e+001 5.72e-001 7.75e-005  -3.1 5.89e-001  -3.9 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 1.0896483e+001 1.21e+000 2.53e-003  -3.1 2.96e+001    -  6.24e-001 6.25e-002h  5
  41 1.0898339e+001 6.73e-001 3.27e-005  -3.1 7.72e-001  -4.4 1.00e+000 1.00e+000h  1
  42 5.6227106e+000 1.30e+002 3.45e-002  -9.1 7.16e+000    -  6.46e-001 1.00e+000f  1
  43 5.1755839e+000 1.03e+001 6.09e-004  -3.6 2.05e+000  -3.9 1.00e+000 1.00e+000h  1
  44 5.1372313e+000 1.90e+000 7.44e-005  -3.6 4.39e-001  -4.4 1.00e+000 1.00e+000h  1
  45 5.1366613e+000 1.43e+000 4.55e-005  -3.6 7.27e-001  -4.9 1.00e+000 1.00e+000h  1
  46 1.9650378e+000 2.25e+001 1.14e-002  -4.9 3.17e+000  -4.5 6.49e-001 1.00e+000f  1
  47 2.4035111e+000 7.11e+000 6.24e-003  -4.2 4.38e-001  -4.0 1.00e+000 1.00e+000h  1
  48 2.3954376e+000 5.73e-002 1.43e-003  -4.2 6.51e-002  -2.7 1.00e+000 1.00e+000h  1
  49 1.6828808e+000 2.48e+000 4.86e-003  -4.6 8.40e-001  -3.2 1.00e+000 8.48e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 1.3312816e+000 5.72e+000 4.56e-003  -4.7 3.52e-001  -3.7 1.00e+000 1.00e+000h  1
  51 1.3442195e+000 8.04e+000 4.70e-003  -4.7 7.70e-001  -4.1 8.24e-001 1.00e+000h  1
  52 1.3441902e+000 2.34e+000 1.11e-003  -4.7 5.70e-001  -3.7 1.00e+000 1.00e+000h  1
  53 1.1537077e+000 2.64e+000 3.42e-003  -4.9 8.50e-001  -4.2 1.00e+000 1.00e+000h  1
  54 1.1096771e+000 5.64e+000 6.46e-003  -5.0 1.86e+000  -4.7 6.61e-001 8.12e-001h  1
  55 1.0998777e+000 6.41e-001 1.23e-003  -5.0 5.37e-001  -4.2 1.00e+000 1.00e+000h  1
  56 1.0058850e+000 2.36e+000 3.67e-003  -5.3 1.40e+000  -4.7 9.09e-001 1.00e+000h  1
  57 9.8865275e-001 1.91e-001 5.22e-004  -5.3 3.48e-001  -4.3 1.00e+000 1.00e+000h  1
  58 9.8814861e-001 6.54e-001 4.02e-004  -5.3 7.96e-001  -4.8 1.00e+000 1.00e+000h  1
  59 9.5273223e-001 8.40e-001 4.72e-004  -5.5 1.37e+000  -5.2 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 9.4482477e-001 9.56e-001 3.07e-003  -5.6 1.20e+000  -4.8 1.00e+000 5.90e-001h  1
